"@timestamp","destination.ip","destination.port","dns.answers.ttl","dns.header_flags","dns.question.name","source.ip","source.port"
"Oct 19, 2025 @ 19:23:42.392","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 19:23:42.391","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 18:37:39.452","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 18:37:39.451","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 18:37:39.449","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 18:37:39.449","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 18:37:39.379","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 18:37:39.379","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 18:37:39.377","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 18:37:39.376","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 18:17:19.942","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 18:17:19.942","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 18:17:19.940","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 18:17:19.939","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 18:16:28.868","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 18:16:28.868","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 18:16:28.866","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 18:16:28.865","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:59:25.029","ff02::1:3",5355,"-","-","ech-rog","fe80::b6e0:cf17:dce3:e507",52121
"Oct 19, 2025 @ 17:59:25.029","224.0.0.252",5355,"-","-","ech-rog","192.168.56.1",52121
"Oct 19, 2025 @ 17:59:25.028","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:59:25.028","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:59:25.026","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:59:25.025","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:58:39.352","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:58:39.352","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:58:39.350","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:58:39.349","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:52:07.133","224.0.0.252",5355,"-","-","ech-rog","192.168.56.1",60719
"Oct 19, 2025 @ 17:52:07.132","ff02::1:3",5355,"-","-","ech-rog","fe80::b6e0:cf17:dce3:e507",60719
"Oct 19, 2025 @ 17:52:07.131","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:52:07.131","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:52:07.130","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:52:07.129","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:51:38.888","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:51:38.888","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:51:38.886","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:51:38.885","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:49:31.124","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:49:31.123","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:49:31.122","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:49:31.120","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:49:04.333","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:49:04.332","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:49:04.330","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:49:04.329","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:41:39.507","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:41:39.506","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:41:39.504","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:41:39.504","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:41:20.869","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:41:20.868","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:41:20.867","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:41:20.866","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:21:07.400","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
"Oct 19, 2025 @ 17:21:07.399","224.0.0.251",5353,"60, 60",AA,"ech-rog.local","192.168.56.1",5353
"Oct 19, 2025 @ 17:21:07.398","ff02::fb",5353,"60, 60",AA,"ech-rog.local","fe80::b6e0:cf17:dce3:e507",5353
